ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-02-24,28,-0.00824,-0.039547525,0.034728475,-0.118068084
2020-02-25,28,-0.0376,-0.038356982,0.03550377,-0.124503575
2020-02-26,28,-0.0378,-0.038839832,0.04309694,-0.1156109
2020-02-27,28,-0.037,-0.03770582,0.038620647,-0.11837262
2020-02-28,28,-0.045,-0.037835654,0.035320576,-0.11438221
2020-02-29,28,0.00145,-0.036511373,0.038835075,-0.116763234
2020-03-01,28,-0.0134,-0.035028305,0.039632842,-0.114531815
2020-03-02,28,-0.0168,-0.036258765,0.039041918,-0.106111445
2020-03-03,28,0.041,-0.035068218,0.045585297,-0.11163468
2020-03-04,28,0.0353,-0.035551067,0.035356633,-0.106526196
2020-03-05,28,0.0322,-0.034417056,0.04504362,-0.11229313
2020-03-06,28,0.0362,-0.03454689,0.04293266,-0.11427538
2020-03-07,28,0.0538,-0.03322261,0.043366052,-0.11274744
2020-03-08,28,0.077,-0.03173954,0.051257923,-0.103481665
2020-03-09,28,0.095,-0.03297,0.04084671,-0.107958
2020-03-10,28,0.065,-0.031779453,0.0498338,-0.11081292
2020-03-11,28,0.0744,-0.032262303,0.040585645,-0.114957705
2020-03-12,28,0.0821,-0.03112829,0.046918415,-0.1074566
2020-03-13,28,0.0775,-0.031258125,0.044580173,-0.10682633
2020-03-14,28,0.062,-0.029933844,0.049039423,-0.10786315
2020-03-15,28,0.0385,-0.028450776,0.05132259,-0.107917935
2020-03-16,28,0.0377,-0.029681234,0.04671416,-0.10999818
2020-03-17,28,0.0333,-0.02849069,0.04631309,-0.10831449
2020-03-18,28,0.0176,-0.028973537,0.05223213,-0.10484359
2020-03-19,28,-0.00259,-0.027839525,0.051049,-0.10276881
2020-03-20,28,-0.0324,-0.02796936,0.046364162,-0.10465696
2020-03-21,28,-0.0603,-0.02664508,0.057770096,-0.1066329
2020-03-22,28,-0.0801,-0.025077382,0.047138084,-0.10772927
2020-03-23,28,-0.137,-0.026223212,0.05495037,-0.10730318
2020-03-24,28,-0.179,-0.024948038,0.05456029,-0.10099077
2020-03-25,28,-0.199,-0.025346257,0.053098023,-0.10247809
2020-03-26,28,-0.23,-0.024127617,0.06028517,-0.10589294
2020-03-27,28,-0.251,-0.024172822,0.052589618,-0.10083178
2020-03-28,28,-0.266,-0.022763913,0.052998204,-0.10227018
2020-03-29,28,-0.273,-0.021196218,0.06097594,-0.098276034
2020-03-30,28,-0.265,-0.022342047,0.057141937,-0.10287553
2020-03-31,28,-0.236,-0.021066872,0.056561526,-0.10069439
2020-04-01,28,-0.21,-0.021465091,0.052737232,-0.097358264
2020-04-02,28,-0.175,-0.020246452,0.05536098,-0.10035349
2020-04-03,28,-0.164,-0.020291658,0.054257583,-0.09596052
2020-04-04,28,-0.153,-0.018882748,0.06549895,-0.1015144
2020-04-05,28,-0.146,-0.017315052,0.059558257,-0.09568679
2020-04-06,28,-0.138,-0.018460881,0.0586501,-0.09541105
2020-04-07,28,-0.152,-0.017185709,0.05919469,-0.09834027
2020-04-08,28,-0.175,-0.017583925,0.057880655,-0.09442246
2020-04-09,28,-0.196,-0.016365286,0.061650455,-0.097594924
2020-04-10,28,-0.217,-0.016410492,0.06091588,-0.095557995
2020-04-11,28,-0.22,-0.015001582,0.05988728,-0.09424801
2020-04-12,28,-0.241,-0.013433887,0.06631883,-0.08685142
2020-04-13,28,-0.239,-0.014579715,0.064556025,-0.093820624
2020-04-14,28,-0.236,-0.0131221395,0.0646739,-0.08415986
2020-04-15,28,-0.205,-0.013337956,0.060156,-0.09433796
2020-04-16,28,-0.177,-0.011936912,0.06874249,-0.08496381
2020-04-17,28,-0.144,-0.011799716,0.06824736,-0.08920499
2020-04-18,28,-0.125,-0.010208404,0.06831276,-0.089003995
2020-04-19,28,-0.104,-0.008458305,0.061091635,-0.08277132
2020-04-20,28,-0.11,-0.009421731,0.06923045,-0.08155435
2020-04-21,28,-0.081,-0.007964157,0.06577579,-0.088154346
2020-04-22,28,-0.0975,-0.008179972,0.0688161,-0.084976494
2020-04-23,28,-0.115,-0.0067789294,0.06955174,-0.08394449
2020-04-24,28,-0.108,-0.0066417325,0.07245516,-0.08280128
2020-04-25,28,-0.114,-0.00505042,0.073195904,-0.08104162
2020-04-26,28,-0.102,-0.003300322,0.07320576,-0.0794331
2020-04-27,28,-0.0705,-0.0042637484,0.071855456,-0.084605284
2020-04-28,28,-0.069,-0.002806173,0.07786033,-0.0797725
2020-04-29,28,-0.0399,-0.0030219888,0.07258363,-0.07381339
2020-04-30,28,-0.0184,-0.0016209459,0.077720605,-0.07372267
2020-05-01,28,-0.0114,-0.0014837494,0.07501796,-0.081340246
2020-05-02,28,-0.00303,0.0001075633,0.076876976,-0.07767966
2020-05-03,28,0.00319,0.0018576613,0.0821435,-0.073640116
2020-05-04,28,0.0183,0.00089423516,0.075827695,-0.07290374
2020-05-05,28,0.0197,0.0023518105,0.083126694,-0.07246202
2020-05-06,28,0.0147,0.0021359946,0.08748528,-0.07209323
2020-05-07,28,0.00661,0.0035646793,0.08114721,-0.07114407
2020-05-08,28,-0.00185,0.0037295176,0.07972718,-0.06906096
2020-05-09,28,0.0187,0.005348472,0.07961651,-0.07520061
